Country,Forecast
Malawi,54.87113059666936
Vietnam,51.43824648356991
Mali,50.54334088332578
Burundi,46.253760139241905
Comoros,45.83294160412083
Cambodia,45.04609487796279
Guyana,42.62622522264314
Saint Helena,42.47475716202459
Burkina Faso,41.963718295234145
Myanmar,41.93936399310081
Zambia,41.83548441305604
Bangladesh,41.54754240889227
Tanzania,40.766301172145006
Nepal,40.29855947253503
Rwanda,39.539514925220374
Guinea,37.91745863978343
Gambia,35.36986787450314
Ethiopia,35.13483027822625
Niger,34.40871879969791
Tajikistan,33.77883210926768
Laos,33.6899905073179
El Salvador,28.56387126961772
Philippines,27.636903852340694
Uganda,27.632062077466998
East Timor,27.484649944085987
Paraguay,23.37166899907119
Georgia,21.996322113428874
Namibia,21.61715406494156
United Arab Emirates,20.179957363709875
Oman,19.05111205371132
Panama,17.520671062043846
China,16.985861980514343
Luxembourg,16.13346470831287
Ecuador,15.587293519499369
Iran,15.049919832499768
Uzbekistan,14.785747369629036
Sri Lanka,12.906012047535881
New Caledonia,12.570201821563387
Honduras,12.56782086310038
Costa Rica,12.133899413349411
Jordan,11.85701029564568
Dominican Republic,11.793382973000504
Mauritius,11.77628136630868
Haiti,11.71701240207237
Solomon Islands,11.13236674467774
Mexico,10.780073767851263
India,10.62137420237201
Bosnia and Herzegovina,8.723315585829084
Anguilla,8.144128469152008
Morocco,7.6463502034248165
Somalia,7.249982431047258
Sao Tome and Principe,4.048497649704501
Kazakhstan,3.8204460439027486
Saint Vincent and the Grenadines,3.639462653499706
Kyrgyzstan,3.2193049108598046
Cyprus,3.0781977346474747
Mozambique,2.3048249965231378
Gabon,1.7012430431885264
Spain,1.6135668102320153
Kiribati,1.29926447067281
Armenia,1.273622288464324
Canada,1.1308347608516556
Australia,0.8967056402153588
Malaysia,0.7739532397867919
Benin,0.3503600621574776
Peru,0.15145243320719715
Madagascar,0.06304232260920628
South Africa,0.05419504571599987
Egypt,0.035850190596661946
Guinea-Bissau,0.020163279560165392
Tunisia,0.008661028799792803
Albania,0.0
Andorra,0.0
Antigua and Barbuda,0.0
Argentina,0.0
Austria,0.0
Azerbaijan,0.0
Belgium,0.0
Bolivia,0.0
Botswana,0.0
Brazil,0.0
Cameroon,0.0
Cape Verde,0.0
Central African Republic,0.0
Chad,0.0
Chile,0.0
Colombia,0.0
Congo,0.0
Cook Islands,0.0
Cote d'Ivoire,0.0
Cuba,0.0
Democratic Republic of Congo,0.0
Denmark,0.0
Equatorial Guinea,0.0
Eritrea,0.0
Eswatini,0.0
Faroe Islands,0.0
Finland,0.0
France,0.0
French Polynesia,0.0
Germany,0.0
Ghana,0.0
Greenland,0.0
Guatemala,0.0
Iceland,0.0
Indonesia,0.0
Iraq,0.0
Ireland,0.0
Kenya,0.0
Kosovo,0.0
Lebanon,0.0
Lesotho,0.0
Liberia,0.0
Lithuania,0.0
Mauritania,0.0
Mongolia,0.0
Netherlands,0.0
Nicaragua,0.0
North Korea,0.0
Pakistan,0.0
Palestine,0.0
Poland,0.0
Saudi Arabia,0.0
Senegal,0.0
Serbia,0.0
Seychelles,0.0
Sierra Leone,0.0
Slovakia,0.0
Slovenia,0.0
South Sudan,0.0
Sudan,0.0
Suriname,0.0
Sweden,0.0
Switzerland,0.0
Syria,0.0
Togo,0.0
Turkey,0.0
Turkmenistan,0.0
United Kingdom,0.0
Uruguay,0.0
World,0.0
Zimbabwe,0.0
Norway,-0.004888477618266052
Bahrain,-0.005287543609028944
Samoa,-0.017540207983657297
Papua New Guinea,-0.023831830321256575
Qatar,-0.031575234488244064
Djibouti,-0.03621267920583193
Nigeria,-0.04442114546615983
Montenegro,-0.0694985446911005
Algeria,-0.07639703582394475
Libya,-0.08103803650108432
Vanuatu,-0.09534320103323068
Afghanistan,-0.16709635199022443
North Macedonia,-0.19952106494477562
Bulgaria,-0.3666829974717274
Brunei,-0.7877397690435544
South Korea,-0.8200968948086
Thailand,-2.653293256419346
Croatia,-3.164452806248349
United States,-3.647460455790849
Russia,-3.9389506252074113
Czechia,-4.230831063085986
New Zealand,-4.827498899490209
Hungary,-6.760935243948978
Belize,-7.057574220203165
Japan,-7.346155957759748
Fiji,-7.763896852102789
Belarus,-8.042610115496103
Kuwait,-8.651019945476236
Yemen,-9.170302896604824
Portugal,-9.875845680577214
Italy,-10.434219365457736
Bahamas,-12.280021721500887
Israel,-13.30361583211615
Jamaica,-16.838982644403913
Trinidad and Tobago,-19.389706974207243
Romania,-22.29067722729107
Greece,-29.60291212048422
Moldova,-30.403239499601554
Latvia,-38.59499447189177
Hong Kong,-54.16023525679619
Estonia,-57.52761068449153
Angola,-60.81275465970685
Venezuela,-92.8470151223292
Bhutan,-116.74293794504969
Ukraine,-231.07721066338067
