Country,Forecast
India,595198579.662754
World,516071121.3592377
China,292283054.82769203
Vietnam,206998096.4595365
Indonesia,162290273.52165198
Turkey,79658186.36476082
Malaysia,65328127.40416217
Brazil,57006889.457224965
Mexico,51375910.62548339
United Arab Emirates,46161450.99178925
Egypt,45259376.0621447
Bangladesh,36059675.36019623
Iran,30348581.872630715
Iraq,25440618.97876817
United States,18778317.28117752
Uzbekistan,17834740.247692555
Philippines,16856485.010388613
Mongolia,14543479.59346506
Thailand,14345056.578923345
Qatar,12271274.705254182
Chile,11722853.211256236
Kenya,11232521.778328411
Germany,11227799.464146733
Peru,10510811.042085178
Canada,10411202.37135315
Morocco,9094495.998771891
Ghana,8996095.334842205
Oman,7492135.104946911
Myanmar,7477577.220577061
Tanzania,7323179.707878033
Cambodia,6416747.061841156
Ethiopia,6079189.330669317
Bahrain,6056829.032324776
Colombia,5952947.230436921
Saudi Arabia,5472966.645837545
Tunisia,4681914.652654134
Nepal,4543836.575541621
Spain,4019298.531129867
Mali,3776027.052091211
Zambia,3726303.879786115
Ecuador,3473783.910986975
Turkmenistan,3160167.0524215996
Guinea,3087305.6857484058
Bulgaria,3039225.0301563293
Benin,2987557.166910162
Burkina Faso,2802272.441842719
Senegal,2148260.509359736
Czechia,2137818.8980077505
United Kingdom,1999023.6658109426
Argentina,1960896.8526610434
Angola,1735997.2545269392
Poland,1683159.6803706884
Paraguay,1669893.6416640114
Uganda,1626923.7279261295
Papua New Guinea,1539145.010521601
Luxembourg,1519560.0343990652
Syria,1353257.8066275828
Malawi,1312965.5064729592
Honduras,1270719.30529405
El Salvador,1206919.1516131815
Sudan,885379.3355662227
Madagascar,803310.2220905488
Palestine,737552.6465598149
Guyana,726675.2030284926
Ireland,697657.0356537178
Guatemala,682724.9038420357
Chad,681712.3355054269
Panama,573281.9133717362
Algeria,568545.5670993626
Nicaragua,470557.7780319173
Kyrgyzstan,440939.9633788951
Slovakia,417813.06089865416
Rwanda,352378.64224805497
Iceland,337097.8547149091
Gambia,275876.71737338207
Comoros,265656.2654743857
Bolivia,228299.35001666844
South Sudan,211331.61482284148
Bhutan,207671.04814580246
Mozambique,181050.46653234307
Niger,171189.22535267333
Georgia,129888.2974617295
Namibia,125818.12690539844
Seychelles,121888.71034321305
Fiji,114685.14385187288
Zimbabwe,107668.7095939815
Gabon,88497.97634643503
Democratic Republic of Congo,63888.0114482115
Uruguay,57244.93220790941
Liberia,44965.266877679736
Cape Verde,32434.11005367653
Eswatini,26625.84297781298
Somalia,24881.29955194285
Croatia,24387.96423804015
Burundi,21665.333459260408
Cameroon,19342.413985403255
Yemen,18972.9496077206
Sweden,17441.808184802532
Solomon Islands,16545.671014202817
Djibouti,14584.65461808542
Bahamas,10959.611887167906
East Timor,10505.584323455114
Greenland,9349.56785340712
Kiribati,8107.474511512875
French Polynesia,5309.026261584484
Saint Vincent and the Grenadines,5240.305726070597
Albania,4047.3645000513643
Central African Republic,2792.698826459353
Saint Helena,2398.6016783603045
Vanuatu,1190.7351704688917
Guinea-Bissau,1128.6368974781362
Anguilla,589.4614228774444
Faroe Islands,357.69770398386754
Togo,-1834.8677564924583
Mauritania,-2052.35837864317
Cook Islands,-2784.252332103628
Eritrea,-3366.0570072148694
Samoa,-7289.822708961612
Sao Tome and Principe,-8572.267879065243
Sierra Leone,-16153.117723494302
Lesotho,-18113.728764774743
Congo,-18720.84455985017
Andorra,-26791.714729683532
Armenia,-27488.979288161732
Montenegro,-29666.551501244772
Costa Rica,-40097.79011346027
Tajikistan,-43489.01640927419
Belize,-46675.62240057846
North Macedonia,-48589.58773988485
Cyprus,-75787.95445444621
Mauritius,-125407.61381040327
Cote d'Ivoire,-146565.16038415395
Botswana,-164209.76275429595
Antigua and Barbuda,-166510.83856139902
Serbia,-169582.06450389326
Haiti,-194242.12796805985
Afghanistan,-216553.576198807
Suriname,-268470.6029552636
New Caledonia,-272866.3547658026
Jamaica,-272903.15788841713
North Korea,-291293.9021095559
Australia,-304767.7888227105
Bosnia and Herzegovina,-318547.248197075
Azerbaijan,-325010.51461634785
Lithuania,-326784.00574186817
Cuba,-403430.6756132357
Jordan,-416525.83745742217
Norway,-423167.35984573513
Moldova,-576589.1046225419
Equatorial Guinea,-623872.0521120206
Slovenia,-665620.5175637361
Dominican Republic,-916514.8229790516
Lebanon,-992150.90607116
Kosovo,-1064201.1256983625
Hungary,-1262677.2437251061
Nigeria,-1486974.7106427252
Belarus,-1638876.7240934
New Zealand,-1747868.698966872
Estonia,-1800508.5632428154
Austria,-1860265.2746618837
Latvia,-1988176.8013554085
Switzerland,-2508135.9807749577
Brunei,-2929314.5269466285
Trinidad and Tobago,-3258891.6901305243
Belgium,-3262884.246519834
Libya,-3621501.6367814913
Israel,-3872247.7772916555
Romania,-3960410.416352585
Laos,-4703874.6810677275
Denmark,-5467686.040637054
Portugal,-6118424.472093254
Venezuela,-6425280.4166460335
Kuwait,-7560542.568949312
Italy,-7985257.887095034
Greece,-8549698.01935044
Japan,-10998871.364562511
Sri Lanka,-11489250.415241465
Hong Kong,-11886479.09482931
Finland,-14452214.913748473
Netherlands,-14497766.509125188
France,-19110711.1605919
Kazakhstan,-21761923.84306103
South Africa,-25199814.351389468
South Korea,-42825751.979411244
Pakistan,-49409658.13779661
Russia,-124801390.44099545
Ukraine,-273920746.8024325
