Country,Forecast
Malawi,1.938778330603222
Vietnam,1.8114562498038276
Mali,1.7782651372033969
Burundi,1.619169074505066
Comoros,1.6035613552330652
Cambodia,1.57437803323791
Guyana,1.48462759901762
Saint Helena,1.4790098070918707
Burkina Faso,1.46005591009289
Myanmar,1.4591526345024906
Zambia,1.4552998495414724
Bangladesh,1.4446203818076844
Tanzania,1.4156449615511741
Nepal,1.398296911192079
Rwanda,1.3701447429278608
Guinea,1.3099843720468574
Gambia,1.2154968954603118
Ethiopia,1.206779596874592
Niger,1.1798488816821464
Tajikistan,1.1564870432246834
Laos,1.1531920011407883
El Salvador,0.9630696007721612
Philippines,0.928689348916123
Uganda,0.9285097725507779
East Timor,0.9230424107235817
Paraguay,0.77049624984117
Georgia,0.7194860725291131
Namibia,0.705423126238024
United Arab Emirates,0.6521190039635234
Oman,0.6102513122400511
Panama,0.5534888567711249
China,0.533653347372216
Luxembourg,0.5020388241932113
Ecuador,0.4817819061204283
Iran,0.4618512781873293
Uzbekistan,0.45205339787606114
Sri Lanka,0.38233598106966193
New Caledonia,0.369881131061361
Honduras,0.3697928238025607
Costa Rica,0.3536991311331913
Jordan,0.34342960339637596
Dominican Republic,0.341069732556587
Mauritius,0.34043545185345836
Haiti,0.33823722796800987
Solomon Islands,0.31655333210162534
Mexico,0.3034871541058695
India,0.29760115322932523
Bosnia and Herzegovina,0.227204144598797
Anguilla,0.20572270029774067
Morocco,0.18726062512099442
Somalia,0.1725597590625224
Sao Tome and Principe,0.05382003742358646
Kazakhstan,0.045361841916920595
Saint Vincent and the Grenadines,0.03864935728386389
Kyrgyzstan,0.023066146113770156
Cyprus,0.017832628552683704
Mozambique,-0.010850957320715447
Gabon,-0.03323718059527299
Spain,-0.03648900036223756
Kiribati,-0.04814614536171297
Armenia,-0.04909718707691784
Canada,-0.054393027113717615
Australia,-0.06307663128823528
Malaysia,-0.06762938941544586
Benin,-0.08334001727567313
Peru,-0.09071729316686483
Madagascar,-0.09399633168788195
South Africa,-0.0943244679331904
Egypt,-0.09500485942000021
Guinea-Bissau,-0.09558667054110981
Tunisia,-0.09601327698992605
Albania,-0.0963345054882739
Andorra,-0.0963345054882739
Antigua and Barbuda,-0.0963345054882739
Argentina,-0.0963345054882739
Austria,-0.0963345054882739
Azerbaijan,-0.0963345054882739
Belgium,-0.0963345054882739
Bolivia,-0.0963345054882739
Botswana,-0.0963345054882739
Brazil,-0.0963345054882739
Cameroon,-0.0963345054882739
Cape Verde,-0.0963345054882739
Central African Republic,-0.0963345054882739
Chad,-0.0963345054882739
Chile,-0.0963345054882739
Colombia,-0.0963345054882739
Congo,-0.0963345054882739
Cook Islands,-0.0963345054882739
Cote d'Ivoire,-0.0963345054882739
Cuba,-0.0963345054882739
Democratic Republic of Congo,-0.0963345054882739
Denmark,-0.0963345054882739
Equatorial Guinea,-0.0963345054882739
Eritrea,-0.0963345054882739
Eswatini,-0.0963345054882739
Faroe Islands,-0.0963345054882739
Finland,-0.0963345054882739
France,-0.0963345054882739
French Polynesia,-0.0963345054882739
Germany,-0.0963345054882739
Ghana,-0.0963345054882739
Greenland,-0.0963345054882739
Guatemala,-0.0963345054882739
Iceland,-0.0963345054882739
Indonesia,-0.0963345054882739
Iraq,-0.0963345054882739
Ireland,-0.0963345054882739
Kenya,-0.0963345054882739
Kosovo,-0.0963345054882739
Lebanon,-0.0963345054882739
Lesotho,-0.0963345054882739
Liberia,-0.0963345054882739
Lithuania,-0.0963345054882739
Mauritania,-0.0963345054882739
Mongolia,-0.0963345054882739
Netherlands,-0.0963345054882739
Nicaragua,-0.0963345054882739
North Korea,-0.0963345054882739
Pakistan,-0.0963345054882739
Palestine,-0.0963345054882739
Poland,-0.0963345054882739
Saudi Arabia,-0.0963345054882739
Senegal,-0.0963345054882739
Serbia,-0.0963345054882739
Seychelles,-0.0963345054882739
Sierra Leone,-0.0963345054882739
Slovakia,-0.0963345054882739
Slovenia,-0.0963345054882739
South Sudan,-0.0963345054882739
Sudan,-0.0963345054882739
Suriname,-0.0963345054882739
Sweden,-0.0963345054882739
Switzerland,-0.0963345054882739
Syria,-0.0963345054882739
Togo,-0.0963345054882739
Turkey,-0.0963345054882739
Turkmenistan,-0.0963345054882739
United Kingdom,-0.0963345054882739
Uruguay,-0.0963345054882739
World,-0.0963345054882739
Zimbabwe,-0.0963345054882739
Norway,-0.09651581400956183
Bahrain,-0.09653061494971775
Samoa,-0.09698505345451941
Papua New Guinea,-0.09721840314569317
Qatar,-0.09750559790628806
Djibouti,-0.09767759587988185
Nigeria,-0.09798203930704227
Montenegro,-0.09891213381217656
